unique_id,osmid,element_type,ele,name,tourism,name:en,created_by,stars,wikidata,toilets:wheelchair,website,wheelchair,addr:city,addr:street,internet_access,internet_access:fee,rooms,smoking,name:zh,opening_hours,email,contact:phone,contact:website,addr:country,phone,operator,name:ja,shop,amenity,building,designation,addr:postcode,addr:state,barrier,hotel,addr:housenumber,source,stairs,contact:email,cuisine,name:es,name:fr,description,historic,name:ru,payment:cash,payment:credit_cards,payment:debit_cards,name:nl,toilet:seated,brand,number,contact:facebook,delivery,name:it,name:hi,addr:place,nodes,fax,name:ne,area,amenity_1,building:adjacency,building:gable_wall,building:levels,building:overhang,building:soft_storey,building:structure,building:use,floor:material:type,roof:material:type,shape:elevation,shape:plan,building:age,building:condition,building:geological_site,building:lateral:material,building:lateral:system,building:levels:underground,capacity:persons,roof:material,roof:shape,fixme,contact:fax,internet_access:ssid,landuse,beds,capacity,level,addr:tole,addr:ward,name:kn,name:ur,start_date,brand:wikidata,brand:wikipedia,building:part,note,addr:district,addr:province,ways,type,name:de,timestamp,completeness_score
node/943246323,943246323,node,,Marshyangdi Hotel,hotel,,,3,,,,,Thamel,Chaksibari Marg,yes,no,95,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-16T09:48:18Z,1.0
node/943246324,943246324,node,,Tradition,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T21:47:02Z,1.0
node/949307742,949307742,node,,Lailai Hotel,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-07T09:38:16Z,1.0
node/949307744,949307744,node,,Ganesh Himal Hotel,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-07T09:38:16Z,1.0
node/992508275,992508275,node,,Tayoma Hotel,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-17T09:45:15Z,1.0
node/992508276,992508276,node,,Potala Guesthouse,hotel,,,,,,http://www.potalaguesthouse.com/,,,,,,,,首日住地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-13T01:53:06Z,1.0
node/1114720610,1114720610,node,,Crown Plaza Soaltee Hotel,hotel,Crown Plaza Soaltee,,5,,,https://www.crowneplaza.com/kathmandu,,,,wlan,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-24T03:19:06Z,1.0
node/1341029283,1341029283,node,,Hotel Lama,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-06-27T11:57:49Z,1.0
node/1341029402,1341029402,node,,Green Valley,hotel,,,,,,,,,,,,,,,,badrimaka@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-03T04:34:59Z,1.0
node/1341029439,1341029439,node,,Hotel Country Villa,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-13T06:15:02Z,1.0
node/1349642553,1349642553,node,,Excelsior Hotel,hotel,,,,,,,,,,,,,,,,,+97714257748,http://www.excelsiornepal.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-10T05:38:45Z,1.0
node/1349658484,1349658484,node,,Vaishali,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-13T18:23:15Z,1.0
node/1349658485,1349658485,node,,Surya,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T21:19:51Z,1.0
node/1349658487,1349658487,node,,Iceland,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T21:19:51Z,1.0
node/1349658489,1349658489,node,,Impala,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T22:07:27Z,1.0
node/1349658500,1349658500,node,,Karma,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T21:19:53Z,1.0
node/1349664584,1349664584,node,,Thara,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-05T13:36:52Z,1.0
node/1349680673,1349680673,node,,Poon Hill,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-29T07:49:26Z,1.0
node/1349680681,1349680681,node,,Hotel Blue Diamond,hotel,,,,,,,,Kathmandu,Jyatha Street,,,,,,,,,,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-27T13:31:42Z,1.0
node/1349680686,1349680686,node,,Pisang,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-12-31T10:39:02Z,1.0
node/1349680697,1349680697,node,,Utse,hotel,,,,,,http://www.utsehotel.com,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-27T18:48:25Z,1.0
node/1349680700,1349680700,node,,Yanki,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T21:47:01Z,1.0
node/1349680727,1349680727,node,,My Home,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T21:47:01Z,1.0
node/1349680754,1349680754,node,,Hotel Elite,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-30T09:13:42Z,1.0
node/1349680757,1349680757,node,,Norling,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-09T10:37:36Z,1.0
node/1349680776,1349680776,node,,Nirvana,hotel,,,,,,http://www.nirvanagarden.com/new/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-12T19:55:28Z,1.0
node/1349697700,1349697700,node,,Yati,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-05T13:30:45Z,1.0
node/1349697713,1349697713,node,,Shakti,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-05T13:30:44Z,1.0
node/1349697722,1349697722,node,,Samsara Resort,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T22:07:26Z,1.0
node/1349697726,1349697726,node,,Laughing Buddha Home,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T22:07:26Z,1.0
node/1349697727,1349697727,node,,Norbhu Linka,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T22:07:26Z,1.0
node/1349697737,1349697737,node,,Mandap,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T22:07:26Z,1.0
node/1349697738,1349697738,node,,Zzang,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T22:07:26Z,1.0
node/1349697742,1349697742,node,,Villa Everest,hotel,,,,,,http://www.villaeverest.com.np,,,,wlan,,,,,Mo-Fr 09:00-22:30; Sa-Su 09:00-22:30,,,,,4413471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-26T05:49:14Z,1.0
node/1350011393,1350011393,node,,Holy Lodge,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-24T11:19:45Z,1.0
node/1350011407,1350011407,node,,ACME,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-08-24T06:50:06Z,1.0
node/1350011409,1350011409,node,,Prince,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-05T06:12:31Z,1.0
node/1350011414,1350011414,node,,Northfield Hotel,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-05T06:12:31Z,1.0
node/1390371550,1390371550,node,,Radisson Hotel Kathmandu,hotel,,,,,yes,https://www.radisson.com/kathmandu,yes,kathmandu,Lazimpat,wlan,,,,,24/7,reservation@radkat.com.np,,,,+977 1-4411818,http://www.radisson.com/kathmandu-hotel-np/nepkathm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-27T21:26:14Z,1.0
node/1477827143,1477827143,node,,Hotel Yambu,hotel,Hotel Yambu,,,,,http://www.hotelyambu.com,,,,wlan,,,,,,hotelyambu@gmail.com,,,,+97714417212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-07T08:23:53Z,1.0
node/1489546013,1489546013,node,,Himalayan Villa,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-06-17T09:14:20Z,1.0
node/1490108258,1490108258,node,,Chautari,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-05T08:53:15Z,1.0
node/1490108260,1490108260,node,,Stupa,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-22T06:40:26Z,1.0
node/1499860699,1499860699,node,,New Elephant Head,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-12T12:32:13Z,1.0
node/1500932986,1500932986,node,,Hillside,hotel,Hillside Village Resort,,,,,,,,,wlan,,,,,,,,,,+977 1-6680004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-17T05:44:28Z,1.0
node/1500932989,1500932989,node,,Unkai,hotel,Hotel Unkai,,,,,,,,,,,,,,,unkairesort@gmail.com,,,,+97716680178,,ホテル雲海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-03-09T08:23:28Z,1.0
node/1502562675,1502562675,node,,Eco-Home,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-22T06:47:30Z,1.0
node/1502562678,1502562678,node,,New Dragon,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-14T05:05:42Z,1.0
node/1622172123,1622172123,node,,Kathmandu Peace Guest House;Tea & Souvenirs,hotel,,,,,,http://www.hotel-in-nepal.com/,,,,,,,,,,,,,,,,,gift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-08T05:59:46Z,1.0
node/1656490102,1656490102,node,,Dhulikhel Lodge Resort,hotel,,,,,,,,,,,,,,,,,,,,+977 11 490042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-03-02T20:19:38Z,1.0
node/1787042048,1787042048,node,,Hotel Goodwill,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-01T10:58:04Z,1.0
node/1833834684,1833834684,node,,Dhulikhel Lodge Resort,hotel,,,,,,,,,,,,,,,,,,,,+977 11 490042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-22T07:00:48Z,1.0
node/1833834799,1833834799,node,,Hotel Arniko,hotel,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-01T21:02:18Z,1.0
node/1833834964,1833834964,node,,Silk Road,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-22T07:00:55Z,1.0
node/1839678362,1839678362,node,,Khushi Khushi Hotel,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-27T10:45:47Z,1.0
node/1858151612,1858151612,node,,Lalit Bhojanalaya,hotel,Lalit Bhanchhaghar,,,,,,,,patan Dhokaa,,,,,,,,,,,9849132272,Nepali Khana,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-13T15:05:16Z,1.0
node/1891343758,1891343758,node,,Vibor Hotel,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-08-31T11:20:19Z,1.0
node/1905155349,1905155349,node,,Hotel Karnali,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:42:55Z,1.0
node/1937661896,1937661896,node,,Hotel Red Rooster,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-08T09:17:08Z,1.0
node/1956285190,1956285190,node,,Ambassador Hotel,hotel,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-17T08:51:58Z,1.0
node/1956360568,1956360568,node,,Hotel Encounter Nepal,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-12T03:38:50Z,1.0
node/1962379599,1962379599,node,,G-Cafe,hotel,,,,,,,,,,,,,,,,,,,,,,,,,yes,G-Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:44:34Z,1.0
node/1963991187,1963991187,node,,Hotel The Lord Asia,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-14T03:36:56Z,1.0
node/1967824804,1967824804,node,,Hotel Lapha,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-16T03:40:59Z,1.0
node/1977485212,1977485212,node,,Hotel Holy Temple Tree,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-22T04:03:33Z,1.0
node/2007681299,2007681299,node,,Giant Hotel Pvt. Ltd.,hotel,,,,,,,,Kathmandu,Bhitri Kholagaul Marga,,,,,,,,,,NP,01-400-1129,,,,,,,00977,Central Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-01-26T18:21:49Z,1.0
node/2027886616,2027886616,node,,Hong Xiang Hotel,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:44:03Z,1.0
node/2041594257,2041594257,node,,Hotel Lion,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-30T08:51:24Z,1.0
node/2054039408,2054039408,node,,Club Himalaya,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-10-23T05:39:36Z,1.0
node/2074287708,2074287708,node,,Shahenshah Hotel,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-19T09:16:27Z,1.0
node/2090824723,2090824723,node,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:44:10Z,1.0
