unique_id,osmid,element_type,amenity,building,int_name,name,cuisine,phone,source,shop,diet:vegetarian,email,internet_access,name:en,opening_hours,operator,website,name:ja,designation,alt_name,addr:street,tourism,addr:city,addr:housename,addr:housenumber,internet_access:fee,contact:phone,building:level,capacity,banquet,description,delivery,outdoor_seating,takeaway,toilets:wheelchair,wheelchair,addr:country,addr:postcode,addr:state,smoking,contact:email,brand,brand:wikidata,brand:wikipedia,addr:district,bar,lounge,wifi,note,barrier,diet:vegan,level,source:name,fixme,name:hi,microbrewery,name:ko,name:de,name:tr,access,name:uk,outdoor facilities,party hall,name:es,contact:website,payment:cash,amenity_1,phone_1,name:ne,name:fr,name:ru,name:it,name:nl,facebook,toilet:seated,name:jp,ele,payment:coins,diet:meat,diet:organic,opening_hours:covid19,contact:facebook,name:he,nodes,addr:place,stars,building:adjacency,building:age,building:condition,building:geological_site,building:lateral:material,building:lateral:system,building:levels,building:levels:underground,capacity:persons,roof:material,roof:shape,location,municipality,ward,CONS_TYPE,building:use,building_count,operator:type,building:gable_wall,building:overhang,building:soft_storey,building:structure,floor:material:type,roof:material:type,shape:elevation,shape:plan,opening_hours:kitchen,kll:oid,sport,Household_Code,Household_Info_By,payment:visa,leisure,addr:tole,addr:ward,layer,ways,type,timestamp,completeness_score
node/669530474,669530474,node,restaurant,,,Chapter 9 Bar/Restaurent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-10-25T21:17:46Z,1.0
node/671207878,671207878,node,restaurant,,,लाक्पाज चुलो,american;italian;thai;steak_house;cake;chicken;coffee_shop;fine_dining;fish;fish_and_chips;international;pasta,,,,yes,lhakpaschulo@gmail.com,wlan,Lhakpa’s Chulo,Tu-Su 10:00-10:00,RSS,https://www.facebook.com/lhakpaschulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-27T21:10:14Z,1.0
node/671528357,671528357,node,restaurant,,,Jalan Jalan Malaysian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-06T04:16:22Z,1.0
node/708987886,708987886,node,restaurant,,,Delima Garden,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-04T08:13:11Z,1.0
node/943246325,943246325,node,restaurant,,,Kasthamandap Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-22T08:26:43Z,1.0
node/1045848953,1045848953,node,restaurant,,,Everest Steak House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-18T19:12:40Z,1.0
node/1349658488,1349658488,node,restaurant,,,Momo Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-10T08:24:31Z,1.0
node/1349658498,1349658498,node,restaurant,,,Momotarou Restaurant,japanese,4417670,,,,,wlan,Momotarou,Mo-Su 18:30-21:30,,,桃太郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-22T14:15:04Z,1.0
node/1350468491,1350468491,node,restaurant,,,Red Dingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-16T09:42:24Z,1.0
node/1390372808,1390372808,node,restaurant,,,Namaste Pub and Lounge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-22T08:04:55Z,1.0
node/1417852754,1417852754,node,restaurant,,,,,,Garmin Orgeon 450 GPS,,,,,,,,,,restraurant/store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-18T09:29:35Z,1.0
node/1496652901,1496652901,node,restaurant,,,Aagan Sweet shop,indian,,,,,,,,,,,,,AAgan Sweet shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-06-05T15:54:35Z,1.0
node/1498876002,1498876002,node,restaurant,,,Gangris ( Sumai ) Resturant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-11T16:33:25Z,1.0
node/1534450706,1534450706,node,restaurant,,,Pyongyang Okryu Gwan Restaurant,north-korean,4233288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-12-06T19:57:28Z,1.0
node/1551745110,1551745110,node,restaurant,,,Revolving Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-22T08:20:28Z,1.0
node/1769321648,1769321648,node,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-05-29T10:06:05Z,1.0
node/1769321650,1769321650,node,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-05-29T10:06:05Z,1.0
node/1769321651,1769321651,node,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-11T11:32:12Z,1.0
node/1792687579,1792687579,node,restaurant,,,Tass and Sekuwa House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-01-18T05:37:27Z,1.0
node/1792706214,1792706214,node,restaurant,,,Wimpies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-16T07:39:49Z,1.0
node/1810054567,1810054567,node,restaurant,,,Olive Tree Restaurant and Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-02T15:08:49Z,1.0
node/1817306834,1817306834,node,restaurant,,,Falcha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-12T07:37:58Z,1.0
node/1833792724,1833792724,node,restaurant,,,Nice Momo,momo,015545243,,,,niceko.kc@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-09T06:24:42Z,1.0
node/1833834932,1833834932,node,restaurant,,,Newa Kitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-08-26T15:36:24Z,1.0
node/1833834933,1833834933,node,restaurant,,,Newari Khaja Ghar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-22T07:00:53Z,1.0
node/1833834987,1833834987,node,restaurant,,,Welcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-10-29T15:41:08Z,1.0
node/1833839881,1833839881,node,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-22T07:03:24Z,1.0
node/1833840060,1833840060,node,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-22T07:03:33Z,1.0
node/1858151599,1858151599,node,restaurant,,,Adhikary Bhojanalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-27T05:19:34Z,1.0
node/1858151612,1858151612,node,restaurant,,,Lalit Bhojanalaya,,9849132272,,,,,,Lalit Bhanchhaghar,,Nepali Khana,,,,,patan Dhokaa,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-13T15:05:16Z,1.0
node/1858151615,1858151615,node,restaurant,,,Nava Durga Bhojanalaya,,9849714564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-27T05:19:33Z,1.0
node/1875597196,1875597196,node,restaurant,,,Fire & Ice,italian,+977 1 4250210,,,,fireandicepizzeria@hotmail.com,,,,,http://www.fireandicepizzeria.com/kathmandu.html,,,,Tridevi Marg,,Kathmandu,Sanchaya kosh Bhawan,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-11-15T09:16:39Z,1.0
node/1883860524,1883860524,node,restaurant,,,New Drop Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-07T05:03:50Z,1.0
node/1891343755,1891343755,node,restaurant,,,Rupy Party Palace,,014375005,,,,,,Smart Cafe & Banquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-27T03:50:09Z,1.0
node/1891446165,1891446165,node,restaurant,,,alishan,indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-16T07:39:49Z,1.0
node/1891535244,1891535244,node,restaurant,,,Momo Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-08-31T13:46:02Z,1.0
node/1892718840,1892718840,node,restaurant,,,Beijing Duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:43:01Z,1.0
node/1892722387,1892722387,node,restaurant,,,Annapurna Sweets And Fastfood,indian,015005500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-29T09:15:22Z,1.0
node/1892815644,1892815644,node,restaurant,,,Fusion Bar & Restaurant,,,,,,,,,,,,,,Fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-11-06T09:15:18Z,1.0
node/1892815653,1892815653,node,restaurant,,,8 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-11-06T09:15:18Z,1.0
node/1894281692,1894281692,node,restaurant,,,Firewood Pizza and Thakali Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-05-19T11:58:43Z,1.0
node/1894295856,1894295856,node,restaurant,,,Samurai restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-27T06:00:41Z,1.0
node/1894339214,1894339214,node,restaurant,,,7th heaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:43:17Z,1.0
node/1894359635,1894359635,node,restaurant,,,Newari Kitchen,newari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:44:22Z,1.0
node/1894392422,1894392422,node,restaurant,,,Eatempus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:44:16Z,1.0
node/1898436170,1898436170,node,restaurant,,,Ktm Espresso Restaurant,,,,,,,wlan,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-04T21:16:30Z,1.0
node/1898521000,1898521000,node,restaurant,,,Amigo Fresh Mexican Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-04T15:46:32Z,1.0
node/1898540389,1898540389,node,restaurant,,,Noyoz Eatery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:43:22Z,1.0
node/1898593308,1898593308,node,restaurant,,,Ghar Bar Restaurant,regional,,,,,,,,Mo-Su 11:00-21:30,,http://www.gharbarrestaurant.com/,,,,,,,,,,+977 01 4415997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:42:12Z,1.0
node/1898624382,1898624382,node,restaurant,,,Capital Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:44:02Z,1.0
node/1904043431,1904043431,node,restaurant,,F bar,F bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-02T23:21:19Z,1.0
node/1904093833,1904093833,node,restaurant,,,Yala Layeku kitchen,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-16T14:08:32Z,1.0
node/1904118759,1904118759,node,restaurant,,,Casa Pagoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-03-03T08:03:13Z,1.0
node/1904166494,1904166494,node,restaurant,,,Melting pot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-22T13:24:42Z,1.0
node/1904344425,1904344425,node,restaurant,,,Mani- Ga Bhutu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-04T10:22:33Z,1.0
node/1905155334,1905155334,node,restaurant,,,Belly Busters Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-27T05:10:27Z,1.0
node/1905155372,1905155372,node,restaurant,,,Ruby Sweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-13T10:51:56Z,1.0
node/1905155380,1905155380,node,restaurant,,,Thakali Chulo Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-27T05:10:27Z,1.0
node/1905155383,1905155383,node,restaurant,,,The Airport Sekuwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-08T06:12:25Z,1.0
node/1905351047,1905351047,node,restaurant,,,New Plaza Kitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-17T09:47:36Z,1.0
node/1905376363,1905376363,node,restaurant,,,Name Cafe and Restaurant,chinese;indian,,,,,,wlan,,Mo-Su 08:00-22:00,BS Pandey,,,,,Ram Shah Path (पुतलीसडक),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-01T09:15:47Z,1.0
node/1905389010,1905389010,node,restaurant,,,Sheetal garden restaurant and bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-08T10:20:58Z,1.0
node/1906555316,1906555316,node,restaurant,,,Indreni Foodland,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-29T02:27:40Z,1.0
