unique_id,osmid,element_type,amenity,name,shop,email,internet_access,opening_hours,phone,toilets:wheelchair,wheelchair,cuisine,wifi,alt_name,website,name:ne,source,name:en,internet_access:fee,operator,smoking,addr:street,toilets,addr:housename,designation,addr:tole,operator:type,outdoor_seating,level,name:kr,addr:city,addr:housenumber,contact:email,contact:phone,contact:phone2,diet:vegetarian,drink,addr:postcode,description,historic,diet:vegan,name:fr,internet_access:ssid,building,takeaway,name:uk,name:hi,name:ja,name:ru,name:de,name:es,name:it,name:nl,nodes,FIXME,building:adjacency,building:gable_wall,building:levels,building:overhang,building:ownership,building:soft_storey,building:structure,building:use,floor:material:type,roof:material:type,shape:elevation,shape:plan,area,height,building_count,isced:level,personnel:count,student:count,tourism,addr:ward,addr:place,delivery,infrastructure/facility,municipality,ward,start_date,name:bo,timestamp,completeness_score
node/992508268,992508268,node,cafe,Rest Point Cafe and Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-17T09:45:14Z,1.0
node/993710662,993710662,node,cafe,Kaiser Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T10:51:33Z,1.0
node/1044375800,1044375800,node,cafe,Cafe Du Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-25T10:00:46Z,1.0
node/1096317916,1096317916,node,cafe,Korean Taste Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-02T10:48:18Z,1.0
node/1349658492,1349658492,node,cafe,Furusato,,,,,,,,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-04-28T14:51:13Z,1.0
node/1349658493,1349658493,node,cafe,Annapurna,,,,,,,,,,,https://annapurna-hotel.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-27T21:26:19Z,1.0
node/1349664587,1349664587,node,cafe,Kathmandu Terrace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-02T19:53:19Z,1.0
node/1349680676,1349680676,node,cafe,Omei,,,,,,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-11-15T09:16:39Z,1.0
node/1349680730,1349680730,node,cafe,Momo,,,,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-08-16T04:26:02Z,1.0
node/1349697710,1349697710,node,cafe,Nirmala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T22:07:25Z,1.0
node/1350468459,1350468459,node,cafe,Museum Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T10:51:33Z,1.0
node/1389188958,1389188958,node,cafe,Coffee Station,,,,,,,,coffee,,,,कफि स्टेशन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-29T06:18:03Z,1.0
node/1398437051,1398437051,node,cafe,Teahouse,,,,,,,,regional;noodles;snacks;teahouse,,,,,Garmin Orgeon 450 GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-23T07:48:22Z,1.0
node/1399487321,1399487321,node,cafe,Teahouse,,,,,,,,teahouse,,,,,Garmin Orgeon 450 GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-23T07:48:54Z,1.0
node/1399501739,1399501739,node,cafe,Teahouse,,,,,,,,teahouse,,,,,Garmin Orgeon 450 GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-07T04:26:27Z,1.0
node/1399507907,1399507907,node,cafe,Cuppas Cafe,,,yes,,,,,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-27T09:31:25Z,1.0
node/1418080904,1418080904,node,cafe,Sorhakhutte Stupa View Restaurant,,,,,,,,newari,,,,,Garmin Orgeon 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-16T03:48:02Z,1.0
node/1497531274,1497531274,node,cafe,The bakery cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T10:51:33Z,1.0
node/1497531288,1497531288,node,cafe,Alinas Bakery Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T10:51:33Z,1.0
node/1498876026,1498876026,node,cafe,Bakery Cafe Teku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T10:51:33Z,1.0
node/1551745102,1551745102,node,cafe,Cosmo De Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T10:51:33Z,1.0
node/1769321635,1769321635,node,cafe,New Bhomi Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-16T04:35:15Z,1.0
node/1787021172,1787021172,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-02T03:44:58Z,1.0
node/1787036666,1787036666,node,cafe,coffee corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-04T05:44:13Z,1.0
node/1815689369,1815689369,node,cafe,Transit Cafe,,,,,015529309,,,,,,,,,Transit Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T10:51:33Z,1.0
node/1819665900,1819665900,node,cafe,KU Fast Food Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-07T09:39:39Z,1.0
node/1849461233,1849461233,node,cafe,Chiya Pasal,,,,06:30-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-05T03:57:06Z,1.0
node/1849461260,1849461260,node,cafe,Chiya Pasal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-03T22:14:17Z,1.0
node/1858151606,1858151606,node,cafe,Jhapali Chiya Pasal,,,,,5543289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-27T05:19:33Z,1.0
node/1875759281,1875759281,node,cafe,North Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T10:51:33Z,1.0
node/1880051587,1880051587,node,cafe,Cafe Hessed,,hessedcafe@gmail.com,yes,Su-Fr 08:00-20:00,+977-1-5530993,,no,donut,,,,,local_knowledge,,no,Tae Jun Jin,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-13T18:31:03Z,1.0
node/1891985126,1891985126,node,cafe,The Bakery Cafe,,,wlan,,014441590,,,,,,http://www.thebakerycafe.com.np,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-30T16:31:35Z,1.0
node/1894153478,1894153478,node,cafe,Roadhouse Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:42:54Z,1.0
node/1898414114,1898414114,node,cafe,Old House Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-04T14:53:56Z,1.0
node/1898521001,1898521001,node,cafe,Espression the cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-04T15:46:32Z,1.0
node/1904127993,1904127993,node,cafe,Cafe du Patan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T10:51:33Z,1.0
node/1904243455,1904243455,node,cafe,kwalkhu cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-07T13:45:00Z,1.0
node/1904311760,1904311760,node,cafe,D'square Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-22T13:31:20Z,1.0
node/1904346816,1904346816,node,cafe,The Side Walk Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-22T13:31:20Z,1.0
node/1904414901,1904414901,node,cafe,New York Cafe,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T14:43:54Z,1.0
node/1905155371,1905155371,node,cafe,Richmond Food Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T14:43:54Z,1.0
node/1905155386,1905155386,node,cafe,Vida Cafe & Grill,,vida@outlook.com,,,014721060,,,,,,http://www.facebook.com/vidacafekathmandu,,,Vida,,,,Ring Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T14:43:54Z,1.0
node/1905155387,1905155387,node,cafe,Universal Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T14:43:54Z,1.0
node/1905315994,1905315994,node,cafe,Ice cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-08T08:35:43Z,1.0
node/1917103306,1917103306,node,cafe,3D Cafe and Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:44:24Z,1.0
node/1918582153,1918582153,node,cafe,Coffe Talk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:44:36Z,1.0
node/1927427331,1927427331,node,cafe,The Free Zone Cafe and Food Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T14:43:54Z,1.0
node/1927559646,1927559646,node,cafe,ND's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-12T05:12:01Z,1.0
node/1927600087,1927600087,node,cafe,Hard Sun Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T14:43:54Z,1.0
node/1937659964,1937659964,node,cafe,Food Universe Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T14:43:54Z,1.0
node/1937673105,1937673105,node,cafe,ItalCaffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-29T08:29:08Z,1.0
node/1937692244,1937692244,node,cafe,Jars of Clay Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-29T08:48:50Z,1.0
node/1937702064,1937702064,node,cafe,The Dream Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-08T10:30:45Z,1.0
node/1937703863,1937703863,node,cafe,The Green Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-07T01:28:23Z,1.0
node/1937710492,1937710492,node,cafe,A Cafe and Lounge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-18T07:05:51Z,1.0
node/1937710496,1937710496,node,cafe,Albino Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-21T08:56:52Z,1.0
node/1937718428,1937718428,node,cafe,Junction Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-16T08:33:44Z,1.0
node/1940788944,1940788944,node,cafe,Green Land Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T14:43:54Z,1.0
node/1942418343,1942418343,node,cafe,Presca's Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T14:43:54Z,1.0
node/1945608815,1945608815,node,cafe,Susmita Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-04T07:08:01Z,1.0
node/1945637495,1945637495,node,cafe,Young Heart Bakery Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-02T06:33:52Z,1.0
node/1947167450,1947167450,node,cafe,A Cube Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-30T05:53:24Z,1.0
node/1950423187,1950423187,node,cafe,The Bakery Cafe,,,,,,,no,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-02T17:01:52Z,1.0
node/1960049080,1960049080,node,cafe,Shrya Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T14:43:54Z,1.0
node/1969476951,1969476951,node,cafe,Rajesh Khaja Ghar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-17T08:43:33Z,1.0
node/1989508623,1989508623,node,cafe,Bharyang Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:43:49Z,1.0
node/1990673886,1990673886,node,cafe,Chilly Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-22T10:46:05Z,1.0
node/1990673919,1990673919,node,cafe,Kavre Bhojanalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-25T13:51:27Z,1.0
node/1990673920,1990673920,node,cafe,Khaja Ghar Bhojanalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-15T10:44:21Z,1.0
node/1990685701,1990685701,node,cafe,Jiwan Dairy and Coffee Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-31T08:12:19Z,1.0
node/1990685704,1990685704,node,cafe,Krishna Khaja Ghar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-31T08:12:19Z,1.0
node/1996638818,1996638818,node,cafe,Hearten Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:44:13Z,1.0
node/2001058350,2001058350,node,cafe,Coffee Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:44:48Z,1.0
node/2001289200,2001289200,node,cafe,Trendy Cafe,,,,,,,,indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30T14:43:54Z,1.0
node/2006116226,2006116226,node,cafe,Tifin Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-12T09:30:32Z,1.0
node/2006144707,2006144707,node,cafe,Bhatbhateni Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:44:31Z,1.0
node/2006419428,2006419428,node,cafe,Aabhusan Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:42:55Z,1.0
node/2019307233,2019307233,node,cafe,Tea Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-30T08:43:06Z,1.0
node/2027854015,2027854015,node,cafe,MoM'S KITCHEN,,,,,,,,,,,,,,,,,,New Baneshwor,,MOM'S kITCHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:42:44Z,1.0
node/2027866686,2027866686,node,cafe,Anmol Catering Service,,,,,,,,,,,,,,,,,,,,,New Baneshwor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:44:00Z,1.0
node/2028654097,2028654097,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:43:18Z,1.0
node/2039623011,2039623011,node,cafe,Green Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-29T09:07:33Z,1.0
node/2047712323,2047712323,node,cafe,City Food Cafe Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-18T08:04:20Z,1.0
node/2052967899,2052967899,node,cafe,Crimson Yatu Cafe,,,,09:00-16:00,,,,,,,,,,,,,,town planning,,,,kamalbinayak,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-31T04:19:13Z,1.0
node/2057256559,2057256559,node,cafe,Cafe Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-31T04:19:13Z,1.0
node/2071332684,2071332684,node,cafe,NAXA Canteen,,,no,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-06-21T11:07:01Z,1.0
node/2072662338,2072662338,node,cafe,Lama's Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-18T11:39:26Z,1.0
node/2072662340,2072662340,node,cafe,New Purbeli Momo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-18T11:39:26Z,1.0
node/2073153212,2073153212,node,cafe,Niyalo Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:43:24Z,1.0
node/2074278687,2074278687,node,cafe,Centre Point Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-19T09:09:43Z,1.0
node/2077194592,2077194592,node,cafe,Cool Break Cafe,,,,,016211237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-31T04:19:13Z,1.0
node/2077238425,2077238425,node,cafe,New Horizon cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-17T06:42:41Z,1.0
